epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
79,6273.36,0.94704,0.66232,0.92088,0.55942,0.27398,0.23411,0.09783,2.05669,2.47734,1.41848,0.002278,0.002278,0.002278
80,6353.09,0.93824,0.64882,0.91728,0.56254,0.25498,0.2399,0.10535,2.06491,2.42203,1.43485,0.002179,0.002179,0.002179
81,6433.33,0.92276,0.63942,0.91652,0.39703,0.19962,0.21158,0.096,2.04966,2.45049,1.44682,0.00208,0.00208,0.00208
82,6512.88,0.93255,0.6356,0.91725,0.29475,0.29133,0.22205,0.10125,2.02878,2.43712,1.44576,0.001981,0.001981,0.001981
83,6592.22,0.92359,0.64167,0.91431,0.5543,0.26959,0.23342,0.10435,2.02174,2.43793,1.43798,0.001882,0.001882,0.001882
84,6671.98,0.93553,0.62928,0.91309,0.40742,0.25403,0.23596,0.10789,2.03036,2.46051,1.42931,0.001783,0.001783,0.001783
85,6752.65,0.91573,0.62672,0.91348,0.37803,0.26966,0.22758,0.09948,2.02796,2.48677,1.43964,0.001684,0.001684,0.001684
86,6832.94,0.91267,0.61463,0.90379,0.55581,0.26187,0.23045,0.10184,2.02803,2.4786,1.43328,0.001585,0.001585,0.001585
87,6912.93,0.90965,0.61744,0.90722,0.55804,0.27051,0.22761,0.10283,2.03407,2.51595,1.44494,0.001486,0.001486,0.001486
88,6992.34,0.89255,0.59549,0.90108,0.64522,0.24807,0.23591,0.10457,2.02455,2.50754,1.44893,0.001387,0.001387,0.001387
89,7072.35,0.89702,0.60092,0.90306,0.53208,0.26507,0.23669,0.10504,2.0369,2.49037,1.44204,0.001288,0.001288,0.001288
90,7152.56,0.89776,0.60178,0.90716,0.54714,0.25927,0.23566,0.10654,2.04112,2.49171,1.43911,0.001189,0.001189,0.001189
91,7240.37,0.8974,0.55888,0.8943,0.60122,0.24973,0.23664,0.11551,2.05436,2.49809,1.452,0.00109,0.00109,0.00109
92,7318.62,0.88911,0.5405,0.88809,0.47469,0.25007,0.2343,0.11332,2.05354,2.54071,1.46003,0.000991,0.000991,0.000991
93,7397.42,0.87943,0.53611,0.89071,0.53158,0.24685,0.23388,0.11472,2.05751,2.58799,1.4507,0.000892,0.000892,0.000892
94,7476.89,0.87194,0.53055,0.88433,0.49497,0.25029,0.2379,0.11396,2.06789,2.57905,1.48058,0.000793,0.000793,0.000793
95,7555.72,0.85037,0.51704,0.88179,0.4866,0.24884,0.23436,0.11455,2.07563,2.58826,1.48444,0.000694,0.000694,0.000694
96,7634.46,0.85814,0.52346,0.88441,0.41782,0.26807,0.23823,0.11669,2.07556,2.54342,1.48744,0.000595,0.000595,0.000595
97,7713.53,0.86098,0.51586,0.88038,0.44363,0.25232,0.23862,0.1185,2.0923,2.54585,1.49216,0.000496,0.000496,0.000496
98,7790.76,0.84825,0.51228,0.87873,0.43894,0.26344,0.24045,0.11239,2.10117,2.56676,1.49848,0.000397,0.000397,0.000397
99,7868.53,0.83317,0.50141,0.8738,0.42672,0.26356,0.24043,0.10944,2.10576,2.58832,1.4977,0.000298,0.000298,0.000298
100,7945.97,0.837,0.50239,0.8743,0.41699,0.26474,0.2394,0.11118,2.10684,2.60556,1.49767,0.000199,0.000199,0.000199
